Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Matt Duchene,"CBJ, COL, NSH, OTT",C,221,3143.55,47,65,42,23,112,72.73,362,12.98,35.62,618,491,428,202,18,44,34,17,17,0,0,52,107,117,120,250,100,1408,1186,54.28
Nikolaj Ehlers,WPG,L,215,2965.4833333333,51,61,41,20,112,80.58,484,10.54,33.67,853,653,411,132,32,35,43,20,19,1,0,64,106,90,97,228,65,6,7,46.15
Jakub Voracek,PHI,R,229,3229.6333333333,30,81,53,28,111,74.50,369,8.13,28.03,657,492,329,132,12,52,66,29,27,2,0,49,116,75,50,203,74,29,48,37.66
Brendan Gallagher,MTL,R,223,2962.4666666667,66,45,25,20,111,71.15,662,9.97,60.32,1203,890,672,331,53,92,66,33,33,0,0,48,64,123,253,305,95,73,87,45.63
Max Domi,"ARI, MTL","C, L",235,3167.3333333333,38,72,50,22,110,68.32,387,9.82,31.93,717,523,382,150,29,55,97,43,41,1,1,43,155,107,127,155,75,789,966,44.96
Travis Konecny,PHI,"C, R",229,2965.65,57,53,28,25,110,75.86,417,13.67,37.59,669,556,400,181,29,44,69,32,31,1,0,53,105,89,216,292,118,32,49,39.51
Eric Staal,MIN,C,229,3128.85,49,58,37,21,107,67.72,429,11.42,38.35,744,562,409,194,30,42,62,31,31,0,0,30,80,109,95,143,88,1321,1319,50.04
Pierre-Luc Dubois,CBJ,"C, L",234,3320.5333333333,47,59,31,28,106,63.47,396,11.87,39.04,675,539,469,207,24,46,100,50,50,0,0,63,108,106,311,358,144,1120,1459,43.43
Brayden Schenn,STL,C,225,3292.25,38,67,39,28,105,69.08,350,10.86,35.65,574,475,417,175,16,33,89,37,32,5,0,29,96,116,363,229,76,1095,1190,47.92
Tomas Tatar,"DET, MTL, VGK",L,230,3083.8,39,66,36,30,105,67.74,385,10.13,32.64,673,532,403,167,27,43,81,39,38,1,0,30,96,114,211,191,78,19,52,26.76
Alex DeBrincat,CHI,"L, R",234,3018.2666666667,49,56,31,25,105,68.63,446,10.99,35.46,813,596,483,134,24,28,20,10,10,0,0,30,91,108,123,245,64,39,56,41.05
Reilly Smith,VGK,R,212,2817.7166666667,41,64,39,25,105,70.95,367,11.17,33.98,601,484,377,159,23,28,48,24,24,0,0,19,98,128,103,227,68,3,2,60.00
Tyler Seguin,DAL,C,233,3492.4,44,60,41,19,104,68.42,558,7.89,48.1,948,727,556,243,23,86,57,27,26,1,0,37,103,98,219,75,89,1489,1158,56.25
Jamie Benn,DAL,L,229,3149.8166666667,49,55,27,28,104,70.75,413,11.86,38.71,704,545,435,205,22,49,81,39,38,1,0,37,158,129,406,176,168,572,521,52.33
William Nylander,TOR,"C, R",204,2825.0333333333,37,67,41,26,104,68.42,396,9.34,37.47,703,544,461,194,17,39,36,17,17,0,0,33,101,122,44,188,45,558,498,52.84
Mikko Rantanen,COL,R,197,2917.5166666667,34,69,37,32,103,69.59,305,11.15,24.84,522,405,298,123,13,28,78,39,39,0,0,43,59,100,111,299,88,78,83,48.45
Sam Reinhart,BUF,C,233,3374.7333333333,44,58,36,22,102,72.34,383,11.49,35.87,666,553,401,204,23,35,28,14,14,0,0,41,84,83,112,277,104,102,173,37.09
Phil Kessel,"ARI, PIT","C, R",234,3178.6166666667,38,63,43,20,101,75.37,420,9.05,34.06,723,552,387,142,25,44,60,25,24,0,1,12,131,69,30,122,49,8,22,26.67
Nicklas Backstrom,WSH,C,222,3099.65,30,71,44,27,101,66.01,320,9.38,26.69,561,430,323,145,10,36,52,26,26,0,0,27,119,110,103,183,102,1505,1522,49.72
Jakub Vrana,WSH,L,224,2738.15,55,46,30,16,101,70.63,420,13.10,38.32,704,584,439,176,34,40,46,23,23,0,0,39,121,95,96,116,63,21,20,51.22
John Carlson,WSH,D,231,3971.0333333333,28,72,36,36,100,45.05,420,6.67,18.37,837,587,237,40,21,55,64,32,32,0,0,17,195,96,121,198,295,0,0,-
Ryan O'Reilly,"BUF, STL",C,234,3380.4166666667,32,68,42,26,100,66.67,379,8.44,33.12,609,516,344,168,15,35,14,7,7,0,0,33,74,177,77,118,82,2200,1582,58.17
J.T. Miller,"NYR, T.B, VAN","C, L",226,2984.45,37,63,33,30,100,63.69,309,11.97,30.5,542,443,345,157,15,34,74,32,31,0,1,32,113,122,343,208,76,850,705,54.66
Yanni Gourde,T.B,C,232,2826.8333333333,36,64,37,27,100,68.97,310,11.61,30.17,512,410,329,171,21,41,81,35,33,1,1,48,69,118,195,348,68,297,323,47.90
Roman Josi,NSH,D,226,4090.1,24,75,44,31,99,47.60,520,4.62,21.34,1038,694,324,52,18,60,85,37,35,1,1,24,134,82,162,258,275,0,0,-
Matthew Tkachuk,CGY,L,217,2982.2333333333,42,57,33,24,99,71.22,399,10.53,37.48,691,561,410,216,17,52,92,36,31,4,1,75,146,103,297,230,47,8,14,36.36
Filip Forsberg,NSH,L,194,2577.1,36,63,46,17,99,70.71,390,9.23,36.18,755,571,413,164,23,42,56,28,28,0,0,41,134,141,252,179,79,1,3,25.00
Anders Lee,NYI,"C, L",232,3251.4166666667,53,45,26,19,98,62.42,421,12.59,44.47,689,578,509,278,18,40,90,41,39,2,0,28,91,62,292,235,130,114,128,47.11
Jaden Schwartz,STL,"C, L",202,2894.5,29,69,44,25,98,78.40,366,7.92,32.83,634,499,394,170,24,35,38,19,19,0,0,46,63,122,153,261,73,42,58,42.00
Alexander Radulov,DAL,R,212,3180.4333333333,38,59,40,19,97,65.10,378,10.05,37.78,676,510,412,213,22,41,128,64,64,0,0,38,125,107,181,193,167,13,18,41.94
Jeff Skinner,"BUF, CAR","C, L",223,3146.0666666667,59,38,23,15,97,69.29,556,10.61,49.59,936,745,589,250,37,63,46,23,23,0,0,65,107,163,91,159,55,130,166,43.92
Jordan Eberle,NYI,"C, R",217,2947.9666666667,43,54,31,23,97,68.31,362,11.88,36.19,601,493,411,214,20,36,31,14,13,1,0,36,91,95,111,283,101,23,36,38.98
Mika Zibanejad,NYR,C,211,2910.85,44,53,33,20,97,75.19,397,11.08,32.6,655,546,353,165,19,26,50,24,24,0,0,38,104,116,241,259,142,1424,1397,50.48
Phillip Danault,MTL,"C, L",204,2810.4,25,72,40,32,97,66.44,298,8.39,28.73,492,387,300,159,12,37,76,38,38,0,0,32,97,89,253,270,108,1474,1232,54.47
Taylor Hall,"ARI, N.J",L,174,2563.1,36,61,43,18,97,72.93,429,8.39,37.79,727,578,422,193,31,45,52,26,26,0,0,35,113,137,125,268,90,84,101,45.41
Gustav Nyquist,"CBJ, DET, S.J","C, R",233,3341.7,38,58,37,21,96,67.13,433,8.78,35.6,714,572,411,175,22,40,30,15,15,0,0,35,128,101,128,176,78,27,27,50.00
Josh Bailey,NYI,"C, R",226,3030.45,31,65,43,22,96,74.42,260,11.92,24.13,449,347,300,136,12,22,21,9,8,1,0,13,148,105,50,115,100,223,233,48.90
Ryan Nugent-Hopkins,EDM,C,209,2933.6833333333,41,55,31,24,96,72.18,352,11.65,32.41,605,465,384,164,23,47,52,26,26,0,0,30,98,115,133,192,94,792,841,48.50
Ryan Getzlaf,ANA,C,192,2894.9833333333,29,67,40,27,96,75.59,272,10.66,21.76,510,402,256,98,15,28,95,42,40,1,1,26,178,136,335,142,162,1184,1121,51.37
Brent Burns,S.J,D,234,4395.0833333333,19,76,45,31,95,48.97,611,3.11,21.62,1444,893,288,50,14,92,68,33,33,0,0,13,241,159,205,166,282,0,0,-
Evander Kane,"BUF, S.J",L,217,3203.6333333333,47,48,26,22,95,65.97,583,8.06,50.09,945,752,517,257,33,77,178,73,67,4,2,39,109,116,441,314,68,200,240,45.45
David Krejci,BOS,C,206,2848.8666666667,26,69,42,27,95,69.34,244,10.66,22.34,431,349,274,106,18,21,38,18,18,0,0,25,87,92,88,221,80,1178,1197,49.60
Patrik Laine,WPG,R,232,3152.5666666667,50,44,27,17,94,61.44,433,11.55,31.54,794,601,400,130,27,46,50,23,23,0,0,33,120,75,233,175,113,26,56,31.71
Ryan Johansen,NSH,C,227,3018.9333333333,31,63,33,30,94,63.95,264,11.74,29.65,419,344,266,155,10,35,101,45,42,3,0,26,85,92,196,123,72,1662,1370,54.82
Nico Hischier,N.J,C,209,2763.5666666667,40,54,31,23,94,66.20,342,11.70,35.02,547,456,373,204,14,35,34,17,17,0,0,60,60,106,140,248,107,1107,1317,45.67
Mikael Backlund,CGY,C,229,3175.45,33,60,39,21,93,64.58,443,7.45,39.44,777,620,454,185,37,47,82,39,39,0,0,11,125,177,135,153,59,1234,1258,49.52
Elias Lindholm,"CAR, CGY",C,232,3111.2833333333,37,56,29,27,93,65.03,321,11.53,30.06,560,443,333,145,21,36,40,20,20,0,0,26,86,95,230,162,85,895,814,52.37
Brock Nelson,NYI,C,232,3054.0666666667,46,47,23,24,93,73.23,350,13.14,34.85,588,452,427,210,17,26,72,35,35,0,0,36,109,94,136,259,121,1215,1267,48.95
Kevin Hayes,"NYR, PHI, WPG","C, R",216,2868.35,39,54,31,23,93,75.00,363,10.74,32.37,621,481,362,170,26,37,40,20,20,0,0,29,120,114,170,157,57,1124,1092,50.72
Kevin Fiala,"MIN, NSH",L,227,2839.4166666667,40,53,38,15,93,74.40,402,9.95,35.98,755,564,432,192,27,49,70,34,34,0,0,42,125,104,92,194,63,3,11,21.43
Rickard Rakell,ANA,"C, L, R",211,3112.7,42,50,27,23,92,66.19,440,9.55,40.47,783,608,471,216,23,45,29,9,7,1,1,30,135,79,245,274,89,88,113,43.78
Zach Hyman,TOR,"C, L",204,2945.9833333333,39,53,32,21,92,54.76,342,11.40,41.12,579,472,435,261,25,41,86,36,33,2,1,38,56,65,243,430,71,65,69,48.51
Alex Killorn,T.B,"C, L",232,2683.0833333333,39,53,33,20,92,63.01,324,12.04,27.57,594,450,346,130,26,35,71,34,33,1,0,22,60,60,204,210,46,15,25,37.50
Brett Connolly,"FLA, WSH",R,220,2597.3,46,46,26,20,92,70.77,276,16.67,26.21,510,378,309,120,13,26,50,25,25,0,0,18,59,75,171,175,66,24,40,37.50
Viktor Arvidsson,NSH,"L, R",193,2534.1666666667,55,37,16,21,92,71.32,444,12.39,35.3,790,626,393,175,31,43,58,29,29,0,0,39,72,71,68,250,65,20,38,34.48
Patrice Bergeron,BOS,C,190,2403.3,41,51,27,24,92,66.67,392,10.46,32.56,675,539,381,150,19,36,54,26,26,0,0,20,63,101,121,141,106,1525,1097,58.16
Gabriel Landeskog,COL,L,205,3088.95,40,51,33,18,91,58.33,398,10.05,35.04,649,535,373,205,15,37,81,37,36,1,0,53,80,122,335,253,135,578,510,53.13
Jason Zucker,"MIN, PIT",L,223,3044.0166666667,42,49,33,16,91,68.94,438,9.59,37.44,715,593,423,198,22,45,61,29,28,1,0,54,72,114,201,185,99,13,41,24.07
David Perron,"STL, VGK",L,198,2809.1666666667,33,58,35,23,91,71.65,259,12.74,21.04,470,356,271,76,14,26,94,47,47,0,0,41,62,108,217,231,46,76,118,39.18
Logan Couture,S.J,C,211,2744.2833333333,45,46,31,15,91,71.65,299,15.05,26.27,536,408,307,140,20,38,32,16,16,0,0,20,78,110,138,202,128,524,624,45.64
Paul Stastny,"STL, VGK, WPG",C,203,2757.3,33,57,35,22,90,70.31,296,11.15,37.45,461,406,354,211,14,37,52,26,26,0,0,32,38,102,128,121,66,1371,1182,53.70
Tyler Bertuzzi,DET,L,192,2707.7666666667,37,53,27,26,90,73.77,289,12.80,31.6,525,426,329,184,11,27,61,22,20,1,1,42,102,67,184,250,99,12,23,34.29
Cam Atkinson,CBJ,R,189,2630.7833333333,48,42,24,18,90,67.16,481,9.98,43.3,795,653,452,201,22,58,20,10,10,0,0,18,74,80,62,59,62,61,109,35.88
Chris Kreider,NYR,"C, L",200,2624.5666666667,41,49,23,26,90,64.29,363,11.29,31.88,596,490,357,191,30,29,80,37,35,2,0,27,116,64,353,141,105,90,126,41.67
Dustin Brown,L.A,"L, R",219,3193.8166666667,35,54,37,17,89,64.03,435,8.05,35.26,749,588,406,168,16,40,50,22,20,2,0,38,98,79,402,274,61,19,33,36.54
Craig Smith,NSH,"C, R",224,2652.4333333333,46,43,25,18,89,63.12,490,9.39,42.13,763,652,431,207,37,57,52,26,26,0,0,31,77,123,187,239,82,70,84,45.45
Brock Boeser,VAN,R,188,2622.5666666667,44,45,24,21,89,65.44,338,13.02,29.49,618,454,361,138,21,31,32,15,15,0,0,21,58,77,66,114,56,50,85,37.04
Bo Horvat,VAN,C,215,3166.5333333333,32,56,35,21,88,66.67,379,8.44,34.09,620,489,385,190,17,38,50,22,20,2,0,35,69,63,138,172,136,1939,1637,54.22
Ryan Dzingel,"CAR, CBJ, OTT","C, L",221,2955.8,40,48,31,17,88,65.67,309,12.94,29.77,534,411,346,159,9,33,55,26,25,1,0,25,77,59,142,140,80,58,86,40.28
Anthony Mantha,DET,R,190,2758.4166666667,36,52,35,17,88,70.97,369,9.76,31.69,656,509,360,154,26,29,63,27,24,3,0,20,130,79,191,132,81,47,71,39.83
Clayton Keller,ARI,"C, R",234,3138.4166666667,40,47,31,16,87,75.00,397,10.08,34.87,674,555,388,156,24,51,60,29,29,0,0,55,91,105,36,277,54,57,75,43.18
Brandon Saad,CHI,L,220,2912.9166666667,44,43,28,15,87,69.05,440,10.00,43.79,717,583,495,237,27,34,36,18,18,0,0,31,56,79,96,167,64,77,105,42.31
Tom Wilson,WSH,R,209,2832.4833333333,36,51,25,26,87,58.39,317,11.36,33.3,580,449,355,188,11,43,223,77,64,7,6,64,103,90,655,316,112,51,62,45.13
Tyler Johnson,T.B,C,226,2831.6333333333,49,38,18,20,87,60.42,367,13.35,35.25,608,503,402,190,26,51,56,28,28,0,0,26,54,52,154,165,86,592,592,50.00
Tomas Hertl,S.J,C,204,2712.2833333333,36,51,33,18,87,66.41,319,11.29,38.02,579,438,413,210,17,47,41,19,18,1,0,28,84,90,151,237,125,1161,1054,52.42
James van Riemsdyk,"PHI, TOR",L,213,2632.9333333333,50,37,20,17,87,72.50,384,13.02,36.61,673,524,415,203,23,44,44,22,22,0,0,10,58,68,91,188,52,13,20,39.39
Oliver Bjorkstrand,CBJ,R,208,2570.4666666667,45,42,30,12,87,73.73,397,11.34,32.63,668,537,384,141,26,39,25,11,10,1,0,19,57,82,139,283,89,11,26,29.73
Nazem Kadri,"COL, TOR",C,204,2696.0833333333,44,42,24,18,86,70.49,385,11.43,31.8,699,533,403,146,19,24,87,35,31,3,1,58,101,96,226,310,45,1156,1023,53.05
Joe Pavelski,"DAL, S.J",C,224,3118.7833333333,40,45,24,21,85,66.93,375,10.67,40.9,632,520,432,235,23,49,53,25,24,1,0,51,96,99,196,151,153,968,842,53.48
T.J. Oshie,WSH,R,212,2844.3666666667,36,49,29,20,85,61.15,251,14.34,27.66,487,395,323,161,14,36,54,26,26,0,0,47,99,111,310,225,147,61,80,43.26
Mike Hoffman,"FLA, OTT","C, L",233,3102.2333333333,40,44,26,18,84,69.42,408,9.80,27.03,714,532,325,111,29,41,62,31,31,0,0,40,158,111,95,143,78,31,33,48.44
Mikael Granlund,"MIN, NSH","C, R",219,3021.5166666667,30,54,32,22,84,68.29,364,8.24,33.08,639,503,359,160,19,39,38,19,19,0,0,39,70,87,124,296,115,177,200,46.95
Max Pacioretty,"MTL, VGK",L,201,2774.7666666667,42,42,27,15,84,68.29,491,8.55,40.45,837,671,462,188,34,57,61,29,28,1,0,26,105,78,309,328,71,56,64,46.67
Joonas Donskoi,"COL, S.J",R,211,2683.2666666667,35,49,29,20,84,62.69,299,11.71,30.73,482,385,327,167,11,36,38,19,19,0,0,43,82,84,87,375,97,10,23,30.30
Bryan Rust,PIT,R,196,2658.4666666667,37,47,27,20,84,62.69,327,11.31,34.68,556,457,384,185,20,39,46,23,23,0,0,42,86,54,267,301,100,8,28,22.22
Morgan Rielly,TOR,D,205,3675,22,61,34,27,83,40.49,397,5.54,15.03,852,573,207,20,11,36,42,21,21,0,0,15,188,85,133,257,215,0,3,0.00
Erik Karlsson,"OTT, S.J",D,180,3425.85,9,74,38,36,83,52.53,357,2.52,12.75,822,525,164,22,7,56,44,21,21,0,0,22,177,135,107,217,209,0,1,0.00
Jake DeBrusk,BOS,L,203,2552.0333333333,43,40,21,19,83,70.34,369,11.65,31.04,618,495,346,156,32,36,24,12,12,0,0,39,63,90,141,267,62,26,55,32.10
Vladimir Tarasenko,STL,R,166,2371.3666666667,43,40,19,21,83,71.55,413,10.41,34.32,782,568,463,145,29,53,23,10,9,1,0,35,57,58,188,119,74,4,3,57.14
Tyler Toffoli,"L.A, VAN","C, R",232,3014.2166666667,36,46,24,22,82,68.33,535,6.73,45.26,936,716,509,198,32,71,35,16,15,1,0,27,81,87,146,180,46,26,40,39.39
Mats Zuccarello,"DAL, MIN, NYR","C, R",193,2652.6,33,49,33,16,82,71.30,277,11.91,24.91,458,375,262,133,20,28,54,23,22,0,1,36,70,108,120,147,130,30,60,33.33
Chris Tierney,"OTT, S.J",C,234,3059.75,21,59,34,25,80,66.67,257,8.17,25.26,444,349,281,137,17,28,38,18,18,0,0,30,123,110,93,179,108,1187,1138,51.05
Adam Henrique,"ANA, N.J",C,234,2954.6166666667,41,39,24,15,80,66.12,296,13.85,32.09,535,440,364,197,21,33,38,19,19,0,0,24,68,79,190,166,135,1180,1100,51.75
Pavel Buchnevich,NYR,"L, R",206,2631.2666666667,31,49,32,17,80,66.67,310,10.00,28.13,537,420,336,159,17,41,35,16,15,1,0,34,123,94,176,246,69,23,67,25.56
Nick Bonino,NSH,C,219,2630.2,38,42,25,17,80,64.00,241,15.77,22.42,404,327,229,117,8,24,32,16,16,0,0,15,73,99,58,133,167,1204,1031,53.87
Connor Brown,"OTT, TOR",R,235,2939.15,29,50,28,22,79,66.39,313,9.27,29.39,538,448,329,158,22,31,46,21,21,0,0,20,62,94,84,223,73,69,109,38.76
Tyler Bozak,"STL, TOR",C,220,2679.1833333333,27,52,26,26,79,71.82,292,9.25,27.64,458,372,287,137,14,24,44,22,22,0,0,20,71,83,119,142,72,1167,952,55.07
Elias Pettersson,VAN,C,139,1893.3666666667,32,47,34,13,79,72.48,185,17.30,19.18,335,266,215,88,9,16,22,11,11,0,0,45,62,65,88,109,85,304,431,41.36
Tyson Barrie,"COL, TOR",D,216,3795.15,20,58,34,24,78,45.09,426,4.69,17.86,901,597,245,38,14,53,64,30,30,0,0,19,124,57,124,259,229,0,0,-
Nick Foligno,CBJ,L,212,2951.4166666667,34,44,17,27,78,60.47,322,10.56,28.14,494,401,305,149,22,35,69,27,22,5,0,30,68,91,527,154,135,405,429,48.56
Charlie Coyle,"BOS, MIN",C,217,2870.0833333333,30,48,30,18,78,66.10,342,8.77,30.33,555,452,333,176,12,35,42,21,21,0,0,40,78,91,219,187,125,721,764,48.55
Anthony Beauvillier,NYI,"C, L",220,2856.75,45,33,21,12,78,60.47,342,13.16,33.98,565,449,411,198,27,20,31,14,13,1,0,30,84,80,238,318,92,96,108,47.06
Jakob Silfverberg,ANA,R,216,2775.8,43,35,21,14,78,72.90,396,10.86,32.97,698,547,389,160,27,35,38,19,19,0,0,29,75,87,107,285,105,23,69,25.00
Lars Eller,WSH,C,231,2760.05,29,49,34,15,78,67.24,381,7.61,35.32,684,537,405,167,27,49,91,43,42,1,0,44,118,95,191,317,97,1137,1121,50.35
Alex Tuch,VGK,R,194,2496.4666666667,29,49,26,23,78,71.56,353,8.22,30.66,626,483,387,150,28,50,26,13,13,0,0,24,88,143,233,223,98,49,102,32.45
Richard Panik,"ARI, CHI, WSH",R,206,2484.5,30,48,28,20,78,65.55,299,10.03,26.85,563,408,298,144,21,45,64,32,32,0,0,34,71,80,323,211,94,15,20,42.86
Darnell Nurse,EDM,D,235,4476.55,17,60,25,35,77,39.29,480,3.54,21.25,944,668,258,53,25,39,107,52,51,1,0,26,163,72,442,213,331,0,0,-
Victor Hedman,T.B,D,213,3679.8166666667,29,48,28,20,77,38.69,389,7.46,20.59,816,577,220,52,24,41,79,38,37,1,0,22,111,85,232,207,209,0,0,-
Carl Soderberg,"ARI, COL",C,229,2833.7333333333,33,44,25,19,77,71.30,357,9.24,31.08,620,477,371,187,16,44,52,26,26,0,0,30,51,85,223,197,115,893,980,47.68
Danton Heinen,"ANA, BOS","C, L",221,2686.9166666667,29,48,25,23,77,70.64,287,10.10,24.91,510,383,293,130,21,23,30,15,15,0,0,28,74,94,130,199,99,17,23,42.50
Mark Giordano,CGY,D,220,3777.9333333333,19,57,22,35,76,42.70,403,4.71,15.22,929,611,206,34,16,60,110,51,50,0,1,26,115,112,161,312,310,0,0,-
Boone Jenner,CBJ,C,222,3058.9,30,46,32,14,76,63.33,449,6.68,37.79,741,610,384,183,26,51,74,37,37,0,0,32,50,81,443,252,189,1187,932,56.02
Ryan Strome,"EDM, NYR",C,233,2949.9833333333,27,49,34,15,76,62.30,287,9.41,28.79,495,392,311,141,14,31,97,44,41,3,0,14,118,82,158,171,65,917,1041,46.83
Andreas Athanasiou,"DET, EDM","C, L",202,2644.4666666667,41,35,23,12,76,82.61,399,10.28,32.2,698,550,379,155,25,18,53,21,19,1,1,52,93,66,83,147,72,269,366,42.36
Alex Pietrangelo,STL,D,219,4035.3166666667,22,53,22,31,75,39.89,412,5.34,16.63,821,558,224,39,14,42,46,23,23,0,0,28,110,115,124,339,297,0,0,-
Thomas Chabot,OTT,D,204,3794.0333333333,25,50,24,26,75,41.67,364,6.87,15.02,748,482,199,42,14,44,60,30,30,0,0,25,160,90,185,291,238,0,0,-
Alex Iafallo,L.A,"C, L",227,3193.8833333333,27,48,29,19,75,59.52,323,8.36,28.74,559,447,330,145,17,35,36,17,17,0,0,25,46,62,183,240,118,25,40,38.46
Vincent Trocheck,"CAR, FLA",C,199,2833.05,21,54,33,21,75,60.98,384,5.47,30.87,669,545,356,122,30,40,103,50,49,1,0,49,159,134,343,253,99,1397,1278,52.22
Kevin Labanc,S.J,R,229,2742.4166666667,30,45,26,19,75,65.79,336,8.93,31.93,636,487,379,144,19,35,78,38,38,0,0,29,82,76,137,237,58,15,31,32.61
Justin Williams,CAR,R,184,2520.8833333333,29,46,25,21,75,68.18,373,7.77,31.82,630,507,323,166,16,32,52,26,26,0,0,32,162,97,146,288,77,100,162,38.17
Nick Schmaltz,"ARI, CHI",C,188,2459.35,27,48,28,20,75,70.75,200,13.50,18.62,370,270,229,92,13,24,30,15,15,0,0,26,71,146,23,169,76,478,700,40.58
Ondrej Palat,T.B,L,189,2429.75,21,54,25,29,75,58.14,278,7.55,24.62,492,373,314,130,28,29,34,17,17,0,0,30,98,80,297,236,123,12,40,23.08
Derek Ryan,"CAR, CGY",C,229,2604.3,30,44,25,19,74,71.15,274,10.95,27.36,477,386,304,153,16,34,48,24,24,0,0,18,109,117,80,221,63,1120,857,56.65
Aaron Ekblad,FLA,D,231,4157.0333333333,20,53,25,28,73,33.49,372,5.38,17.59,705,515,197,48,11,42,68,34,34,0,0,23,242,98,187,207,239,0,0,-
Dougie Hamilton,"CAR, CGY",D,211,3572.25,32,41,24,17,73,44.79,518,6.18,21.85,1054,729,288,56,33,65,112,52,51,0,1,21,141,66,269,162,203,1,3,25.00
Nino Niederreiter,"CAR, MIN",R,212,2712.1166666667,34,39,20,19,73,60.83,349,9.74,34.61,607,483,375,195,15,42,78,39,39,0,0,38,87,108,197,283,55,44,35,55.70
Alexander Kerfoot,"COL, TOR",C,222,2613.1166666667,31,42,27,15,73,65.77,227,13.66,23.14,386,308,276,137,10,24,80,39,39,0,0,31,71,77,107,315,102,608,659,47.99
Zach Parise,MIN,L,185,2433.4,33,40,16,24,73,66.97,340,9.71,32.31,518,435,323,183,18,44,24,12,12,0,0,42,51,43,91,167,118,33,40,45.21
Andre Burakovsky,"COL, WSH",L,190,2205.55,36,37,23,14,73,70.19,239,15.06,19.73,457,330,278,88,17,19,40,16,15,0,1,22,88,70,99,244,87,22,26,45.83
Dylan Strome,"ARI, CHI",C,157,1947.8166666667,23,50,29,21,73,70.87,199,11.56,18.47,333,264,209,94,17,20,28,14,14,0,0,18,56,80,38,131,86,711,813,46.65
Ryan Suter,MIN,D,229,4396.4666666667,12,60,32,28,72,39.13,266,4.51,10,602,396,125,22,7,43,62,31,31,0,0,10,76,40,170,115,250,0,0,-
Kris Letang,PIT,D,205,3845.0666666667,20,52,23,29,72,38.30,463,4.32,17.88,881,620,197,29,14,55,76,38,38,0,0,17,161,113,266,327,244,0,1,0.00
Patrick Marleau,"PIT, S.J, TOR","C, L",230,3141.8666666667,35,37,22,15,72,50.70,375,9.33,35.68,598,493,407,204,22,30,40,20,20,0,0,19,57,78,203,230,85,217,195,52.67
Derek Stepan,ARI,C,224,3074.3666666667,25,47,29,18,72,64.29,405,6.17,30.89,664,541,329,146,21,40,34,17,17,0,0,20,76,94,127,194,124,1391,1564,47.07
Artturi Lehkonen,MTL,L,218,2702.9666666667,31,41,30,11,72,66.06,407,7.62,37.11,710,539,424,207,24,49,58,28,28,0,0,30,54,62,274,344,74,21,25,45.65
Conor Sheary,"BUF, PIT",L,220,2667.15,32,40,22,18,72,64.86,339,9.44,30.05,565,458,341,151,20,34,24,12,12,0,0,28,72,85,83,191,82,16,23,41.03
Kyle Palmieri,N.J,"C, R",201,2644.8666666667,41,31,16,15,72,61.02,341,12.02,29.3,575,469,315,140,10,32,66,33,33,0,0,50,68,79,235,238,107,50,114,30.49
Jared McCann,"FLA, PIT",C,212,2541.2,27,45,25,20,72,68.57,364,7.42,25.83,582,459,290,104,21,34,59,25,22,3,0,34,82,86,196,217,101,640,844,43.13
Tanner Pearson,"L.A, PIT, VAN",L,231,2922.8833333333,35,36,18,18,71,63.96,393,8.91,33.8,675,545,370,156,30,41,54,24,22,2,0,37,78,73,327,265,97,26,48,35.14
Jesper Fast,NYR,R,206,2723.0333333333,31,40,19,21,71,62.28,225,13.78,29.83,355,305,281,180,7,23,52,25,25,0,0,35,76,59,355,295,98,17,36,32.08
Zack Kassian,EDM,R,212,2662.1833333333,34,37,20,17,71,59.66,272,12.50,26.93,442,355,305,162,16,33,132,42,31,8,3,22,120,76,466,197,23,2,21,8.70
Keith Yandle,FLA,D,233,3886.3833333333,10,60,30,30,70,38.46,305,3.28,9.95,618,439,118,13,23,29,67,32,31,1,0,16,247,70,80,51,186,0,1,0.00
Jake Muzzin,"L.A, TOR",D,207,3596.15,18,52,20,32,70,42.17,325,5.54,11.6,713,465,177,15,10,39,97,46,45,1,0,25,189,46,403,402,267,0,0,-
Blake Coleman,"N.J, T.B",C,223,2814.5833333333,39,31,19,12,70,61.40,462,8.44,39.19,741,605,430,201,29,37,111,54,53,1,0,46,65,111,577,251,108,296,345,46.18
Ryan Hartman,"CHI, MIN, NSH, PHI","L, R",230,2671.8,29,41,23,18,70,59.32,356,8.15,30.21,635,480,357,151,21,40,114,52,50,2,0,61,70,86,249,252,115,159,166,48.92
Miles Wood,N.J,L,207,2454.8333333333,33,37,23,14,70,76.09,433,7.62,31.79,683,573,341,173,30,31,138,58,55,2,1,59,81,58,267,338,73,1,1,50.00
Jaccob Slavin,CAR,D,232,4174.2833333333,12,57,24,33,69,38.76,347,3.46,13.02,722,499,154,27,16,50,32,16,16,0,0,20,118,190,122,361,283,0,0,-
Charlie McAvoy,BOS,D,184,3365.2,11,58,32,26,69,40.83,206,5.34,10.74,450,310,129,23,11,26,92,46,46,0,0,35,128,73,319,425,246,0,0,-
